Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""We Belong Together""",Mariah Carey,Q41076,United States of America,female
"""Hollaback Girl""",Gwen Stefani,Q483379,United States of America,female
"""Let Me Love You""",Mario,Q177131,United States of America,male
"""Since U Been Gone""",Kelly Clarkson,Q483507,United States of America,female
"""1, 2 Step""",Ciara featuring Missy Elliott,Q203223,United States of America,female
"""Gold Digger""",Kanye West featuring Jamie Foxx,Q15935,United States of America,male
"""Boulevard of Broken Dreams""",Green Day,Q47871,United States of America,Unknown
"""Candy Shop""",50 Cent featuring Olivia,Q6060,United States of America,male
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,Q102385,United States of America,Unknown
"""Behind These Hazel Eyes""",Kelly Clarkson,Q483507,United States of America,female
"""Disco Inferno""",50 Cent,Q6060,United States of America,male
"""You and Me""",Lifehouse,Q845790,United States of America,Unknown
"""Don't Phunk with My Heart""",The Black Eyed Peas,Q134541,United States of America,Unknown
"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,Q155079,United States of America,female
"""Shake It Off""",Mariah Carey,Q41076,United States of America,female
"""Mr. Brightside""",The Killers,Q220730,United States of America,Unknown
"""Just a Lil Bit""",50 Cent,Q6060,United States of America,male
"""Pon de Replay""",Rihanna,Q36844,Barbados,female
"""How We Do""",The Game featuring 50 Cent,Q189936,United States of America,male
"""Beverly Hills""",Weezer,Q209956,United States of America,Unknown
"""Oh""",Ciara featuring Ludacris,Q203223,United States of America,female
"""Lonely No More""",Rob Thomas,Q754094,United States of America,male
"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,Q6096,United States of America,male
"""Hate It or Love It""",The Game featuring 50 Cent,Q189936,United States of America,male
"""Lovers & Friends""",Lil Jon featuring Usher and Ludacris,Q294449,United States of America,male
"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,Q153056,United States of America,Unknown
"""Breakaway""",Kelly Clarkson,Q483507,United States of America,female
"""Switch""",Will Smith,Q40096,United States of America,male
"""Let Me Hold You""",Bow Wow featuring Omarion,Q312173,United States of America,male
"""Like You""",Bow Wow featuring Ciara,Q312173,United States of America,male
"""Rich Girl""",Gwen Stefani featuring Eve,Q483379,United States of America,female
"""My Humps""",The Black Eyed Peas,Q134541,United States of America,Unknown
"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,Q3298809,United States of America,male
"""Caught Up""",Usher,Q165911,United States of America,male
"""Listen to Your Heart""",DHT featuring Edmee,Q1755076,Belgium,Unknown
"""Scars""",Papa Roach,Q254371,United States of America,Unknown
"""Feel Good Inc.""",Gorillaz,Q189991,United Kingdom,Unknown
"""Let Me Go""",3 Doors Down,Q175097,United States of America,Unknown
"""Holiday""",Green Day,Q47871,United States of America,Unknown
"""Sugar, We're Goin Down""",Fall Out Boy,Q485811,United States of America,Unknown
"""Grind with Me""",Pretty Ricky,Q386406,United States of America,Unknown
"""Run It!""",Chris Brown featuring Juelz Santana,Q155700,United States of America,male
"""Photograph""",Nickelback,Q483802,Canada,Unknown
"""Lonely""",Akon,Q32849,Senegal,male
"""Collide""",Howie Day,Q1352927,United States of America,male
"""Wake Me Up When September Ends""",Green Day,Q47871,United States of America,Unknown
"""Slow Down""",Bobby Valentino,Q682511,United States of America,male
"""Over and Over""",Nelly featuring Tim McGraw,Q218992,United States of America,male
"""Some Cut""",Trillville featuring Cutty,Q3998800,United States of America,Unknown
"""Get It Poppin'""",Fat Joe featuring Nelly,Q309888,United States of America,male
"""Play""",David Banner,Q708506,United States of America,male
"""Soul Survivor""",Young Jeezy featuring Akon,Q342447,United States of America,male
"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,Q193676,United States of America,male
"""My Boo""",Usher and Alicia Keys,Q165911,United States of America,male
"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",Q919386,United States of America,male
"""Karma""",Alicia Keys,Q121507,United States of America,female
"""Speed of Sound""",Coldplay,Q45188,United Kingdom,Unknown
"""I Don't Want to Be""",Gavin DeGraw,Q337722,United States of America,male
"""Mockingbird""",Eminem,Q5608,United States of America,male
"""La Tortura""",Shakira featuring Alejandro Sanz,Q34424,Spain,female
"""She Will Be Loved""",Maroon 5,Q182223,United States of America,Unknown
"""Baby I'm Back""",Baby Bash featuring Akon,Q708231,United States of America,male
"""Wait (The Whisper Song)""",Ying Yang Twins,Q942668,United States of America,Unknown
"""Incomplete""",Backstreet Boys,Q17140,United States of America,Unknown
"""Bring Em Out""",T.I.,Q214227,United States of America,male
"""Cater 2 U""",Destiny's Child,Q153056,United States of America,Unknown
"""1 Thing""",Amerie,Q233377,United States of America,female
"""Best of You""",Foo Fighters,Q483718,United States of America,Unknown
"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,Q41076,United States of America,female
