Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""How You Remind Me""",Nickelback,Q483802,Canada,Unknown
"""Foolish""",Ashanti,Q161877,United States of America,female
"""Hot in Herre""",Nelly,Q218992,United States of America,male
"""Dilemma""",Nelly featuring Kelly Rowland,Q218992,United States of America,male
"""Wherever You Will Go""",The Calling,Q523449,United States of America,Unknown
"""A Thousand Miles""",Vanessa Carlton,Q233081,United States of America,female
"""In the End""",Linkin Park,Q261,United States of America,Unknown
"""What's Luv?""",Fat Joe featuring Ashanti,Q309888,United States of America,male
"""U Got It Bad""",Usher,Q165911,United States of America,male
"""Blurry""",Puddle of Mudd,Q907540,United States of America,Unknown
"""Complicated""",Avril Lavigne,Q30449,Canada,female
"""Always on Time""",Ja Rule featuring Ashanti,Q309843,United States of America,male
"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule,Q40715,United States of America,female
"""The Middle""",Jimmy Eat World,Q642988,United States of America,Unknown
"""I Need a Girl (Part One)""",P. Diddy featuring Usher and Loon,Q216936,United States of America,male
"""U Don't Have to Call""",Usher,Q165911,United States of America,male
"""Family Affair""",Mary J. Blige,Q228909,United States of America,female
"""I Need a Girl (Part Two)""","P. Diddy featuring Ginuwine, Loon and Mario Winans",Q216936,United States of America,male
"""Gangsta Lovin'""",Eve featuring Alicia Keys,Q239464,United States of America,female
"""My Sacrifice""",Creed,Q308816,United States of America,Unknown
"""Without Me""",Eminem,Q5608,United States of America,male
"""Hero""",Enrique Iglesias,Q47122,Spain,male
"""All You Wanted""",Michelle Branch,Q234685,United States of America,female
"""Get the Party Started""",Pink,Q160009,United States of America,female
"""Hero""",Chad Kroeger featuring Josey Scott,Q294723,Canada,male
"""Wasting My Time""",Default,Q1182558,Canada,Unknown
"""One Last Breath""",Creed,Q308816,United States of America,Unknown
"""Whenever, Wherever""",Shakira,Q34424,Spain,female
"""I'm Gonna Be Alright""",Jennifer Lopez featuring Nas,Q40715,United States of America,female
"""Oh Boy""",Cam'ron featuring Juelz Santana,Q434913,United States of America,male
"""Heaven""",DJ Sammy featuring Yanou and Do,Q360377,Spain,male
"""Hey Baby""",No Doubt featuring Bounty Killer,Q43259,United States of America,Unknown
"""Girlfriend""",NSYNC featuring Nelly,Q154454,United States of America,Unknown
"""Just a Friend 2002""",Mario,Q177131,United States of America,male
"""Soak Up the Sun""",Sheryl Crow,Q200586,United States of America,female
"""Don't Let Me Get Me""",Pink,Q160009,United States of America,female
"""Nothin'""",N.O.R.E.,Q53549,United States of America,male
"""Oops (Oh My)""",Tweet featuring Missy Elliott,Q267265,United States of America,female
"""A Moment Like This""",Kelly Clarkson,Q483507,United States of America,female
"""Addictive""",Truth Hurts featuring Rakim,Q274096,United States of America,female
"""Happy""",Ashanti,Q161877,United States of America,female
"""No Such Thing""",John Mayer,Q215215,United States of America,male
"""Just Like a Pill""",Pink,Q160009,United States of America,female
"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita",Q309843,United States of America,male
"""Can't Get You Out of My Head""",Kylie Minogue,Q11998,Australia,female
"""Superman (It's Not Easy)""",Five for Fighting,Q337844,United States of America,male
"""Cleanin' Out My Closet""",Eminem,Q5608,United States of America,male
"""Halfcrazy""",Musiq Soulchild,Q1955333,United States of America,male
"""Lights, Camera, Action!""",Mr. Cheeks,Q4353885,United States of America,male
"""Still Fly""",Big Tymers,Q859463,United States of America,Unknown
"""A Woman's Worth""",Alicia Keys,Q121507,United States of America,female
"""7 Days""",Craig David,Q154222,United Kingdom,male
"""Hey Ma""",Cam'ron featuring Juelz Santana and Freekey Zekey,Q434913,United States of America,male
"""Work It""",Missy Elliott,Q155079,United States of America,female
"""Move Bitch""",Ludacris featuring Mystikal and I-20,Q193676,United States of America,male
"""Can't Fight the Moonlight""",LeAnn Rimes,Q120533,United States of America,female
"""Escape""",Enrique Iglesias,Q47122,Spain,male
"""More Than A Woman""",Aaliyah,Q11617,United States of America,female
"""Hella Good""",No Doubt,Q43259,United States of America,Unknown
"""I Love You""",Faith Evans,Q236318,United States of America,female
"""Gotta Get thru This""",Daniel Bedingfield,Q362251,United Kingdom,male
"""Pass the Courvoisier, Part II""",Busta Rhymes featuring P. Diddy and Pharrell,Q59185,United States of America,male
"""Lose Yourself""",Eminem,Q5608,United States of America,male
"""Butterflies""",Michael Jackson,Q2831,United States of America,male
"""What About Us?""",Brandy,Q690974,United States of America,female
"""Underneath Your Clothes""",Shakira,Q34424,Spain,female
"""Rainy Dayz""",Mary J. Blige featuring Ja Rule,Q228909,United States of America,female
"""Differences""",Ginuwine,Q705458,United States of America,male
"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario,Q438271,United States of America,female
"""The Whole World""",Outkast featuring Killer Mike,Q472595,United States of America,Unknown
"""Underneath It All""",No Doubt featuring Lady Saw,Q43259,United States of America,Unknown
"""Caramel""",City High featuring Eve,Q3960010,United States of America,Unknown
"""Luv U Better""",LL Cool J,Q52440,United States of America,male
"""Gimme the Light""",Sean Paul,Q200577,Jamaica,male
"""Gone""",NSYNC,Q154454,United States of America,Unknown
"""Livin' It Up""",Ja Rule featuring Case,Q309843,United States of America,male
"""Rollout (My Business)""",Ludacris,Q193676,United States of America,male
"""Here Is Gone""",Goo Goo Dolls,Q730046,United States of America,Unknown
"""No More Drama""",Mary J. Blige,Q228909,United States of America,female
"""Days Go By""",Dirty Vegas,Q1228291,United Kingdom,Unknown
"""Baby""",Ashanti,Q161877,United States of America,female
"""The Good Stuff""",Kenny Chesney,Q467526,United States of America,male
"""We Thuggin'""",Fat Joe featuring R. Kelly,Q309888,United States of America,male
"""Good Morning Beautiful""",Steve Holy,Q7612879,United States of America,male
"""Rock the Boat""",Aaliyah,Q11617,United States of America,female
"""Drive (For Daddy Gene)""",Alan Jackson,Q380927,United States of America,male
"""Standing Still""",Jewel,Q229018,United States of America,female
"""Anything""",Jaheim featuring Next,Q924298,United States of America,male
"""Full Moon""",Brandy,Q690974,United States of America,female
"""Uh Huh""",B2K,Q795279,United States of America,Unknown
"""A New Day Has Come""",Celine Dion,Q5105,Canada,female
"""Turn Off the Light""",Nelly Furtado,Q80424,Portugal,female
"""Living and Living Well""",George Strait,Q366584,United States of America,male
"""My List""",Toby Keith,Q559819,United States of America,male
"""Hands Clean""",Alanis Morissette,Q130742,Canada,female
"""Sk8er Boi""",Avril Lavigne,Q30449,Canada,female
"""Long Time Gone""",Dixie Chicks,Q142636,United States of America,Unknown
"""Where Were You (When the World Stopped Turning)""",Alan Jackson,Q380927,United States of America,male
"""Like I Love You""",Justin Timberlake,Q43432,United States of America,male
"""I Do!!""",Toya,Q7830558,United States of America,female
